Produkt,Ilość,Cena szt.,Waga (kg),Cena/kg,Suma,store,date
SokolowSchabSoItysaLuz t,,,0.276,34.89,9.63,kaufland,2025-12-10
PrimoJog.b/1akt180,1.0,2.39,,,2.39,kaufland,2025-12-10
Marchew ze skrzyni. wleznl t,,,0.052,1.39,0.07,kaufland,2025-12-10
K.TortillaWie1370,1.0,5.89,,,5.89,kaufland,2025-12-10
WODx CIS LG 1.5,6.0,2.39,,,14.34,biedronka,2025-12-10
OsheeVitamin1100,1.0,4.49,,,4.49,biedronka,2025-12-10
SledNaRazkurki100,1.0,3.75,,,3.75,biedronka,2025-12-10
SledNaRazSuszPon100,1.0,3.75,,,3.75,biedronka,2025-12-10
Schab/Szynka 100,3.0,5.99,,,17.97,biedronka,2025-12-10
ColaZerFanSpr i2x1,1.0,9.98,,,9.98,biedronka,2025-12-10
WODx CIS LG 1.5,6.0,2.39,,,14.34,biedronka,2025-12-10
OsheeVitamin1100,1.0,4.49,,,4.49,biedronka,2025-12-10
SledNaRazkurki100,1.0,3.75,,,3.75,biedronka,2025-12-10
SledNaRazSuszPon100,1.0,3.75,,,3.75,biedronka,2025-12-10
Schab/Szynka 100,3.0,5.99,,,17.97,biedronka,2025-12-10
ColaZerFanSpr i2x1,1.0,9.98,,,9.98,biedronka,2025-12-10
OsheeNapojIzot0.75,1.0,3.99,,,3.99,kaufland,2025-12-13
SokotowSchabSoItysaluz,,,0.276,34.89,9.63,kaufland,2025-12-21
PrimoJog.b/1akt180,1.0,2.39,,,2.39,kaufland,2025-12-21
Marchew ze skrzyni.luzem t,,,0.052,1.39,0.07,kaufland,2025-12-21
K.Torti1laWie1370,1.0,5.89,,,5.89,kaufland,2025-12-21
